,а,б,в,г,д,е,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ы,ь,э,ю,я
к,0.008461917682248413,4.327466256213049E-4,8.347584056729149E-4,1.4383907726617237E-4,2.0653816222835006E-4,0.0011150601972685329,1.7334452901307952E-4,9.835150582302384E-5,0.005025761947556519,2.458787645575596E-6,3.4668905802615903E-4,8.101705292171588E-4,2.1268513134228907E-4,0.0016928752939787978,0.010757195949393233,4.7454601559609E-4,0.0021538979775242223,7.142778110397107E-4,8.863929462300024E-4,0.0019571949658781745,1.721151351902917E-5,4.0569996151997333E-5,4.0569996151997333E-5,2.397317954436206E-4,4.302878379757293E-5,2.458787645575596E-6,0.0,0.0,1.290863513927188E-4,1.8440907341816972E-5,7.376362936726789E-5
л,0.005799050662090043,2.8030179159561794E-4,6.392847878496549E-4,3.2333057539319087E-4,4.352054132668805E-4,0.0050786258819363935,3.098072433425251E-4,1.4260968344338457E-4,0.007828779863512698,1.229393822787798E-6,0.0010117911161543578,3.356245136210689E-4,1.6596816607635274E-4,0.0011101426219773817,0.007383739299663515,5.630623708368115E-4,1.4383907726617237E-4,0.0018244204330170922,3.77423903595854E-4,0.001777703467751156,4.425817762036073E-5,2.5817270278543758E-5,1.1064544405090182E-5,4.0078238622882217E-4,4.425817762036073E-5,1.4752725873453576E-5,0.001204805946332042,0.004943392561429736,7.007544789890448E-5,9.810562705846629E-4,0.00223872615129658
м,0.0033636214991474155,3.8971784182373196E-4,8.913105215211536E-4,4.1676450592506353E-4,4.044705676971856E-4,0.0041590393024911205,1.180218069876286E-4,2.2497906957016703E-4,0.004488516846998251,1.229393822787798E-6,8.310702242045515E-4,3.4423027038058343E-4,4.056999615199733E-4,0.002253478877170034,0.004964292256417128,0.0011052250466862304,2.507963398487108E-4,0.001163006556357257,3.9094723564651976E-4,0.002542386425525166,7.253423554448009E-5,8.482817377235807E-5,5.532272202545091E-5,3.9586481093767097E-4,6.63872664305411E-5,6.14696911393899E-6,0.0013228277533196707,6.884605407611668E-5,1.3892150197502117E-4,4.6716965265936325E-5,6.835429654700157E-4
н,0.011633753745040932,2.7661361012725453E-4,5.052808611657849E-4,4.0078238622882217E-4,0.0010880135331672012,0.01007734116539158,4.1799389974785135E-5,2.0776755605113786E-4,0.008540598886906833,0.0,5.556860079000847E-4,7.130484172169229E-5,1.1679241316484082E-4,0.004318860499453535,0.012214027629396773,5.323275252671166E-4,1.4015089579780897E-4,0.001070802019648172,0.001113830803445745,0.003110366371653129,4.302878379757293E-5,4.794635908872412E-5,5.458508573177824E-4,2.594020966082254E-4,5.90109034938143E-5,1.303157452155066E-4,0.005131489816316269,0.0010769489887621111,5.040514673429972E-5,1.4138028962059677E-4,0.0022018443366129464
о,2.655490657221644E-4,0.005635541283659266,0.011326405289343984,0.006603074222193263,0.006955910249333361,0.003437385128514683,0.0022165970624864,0.0020039119311441107,0.0021133279813722247,0.004921263472619556,0.0037693214606673887,0.007431685658752239,0.0073702159676128495,0.008463147076071202,0.0020039119311441107,0.004002906286997071,0.007791898048829064,0.00989907906108735,0.008863929462300024,6.724784210649256E-4,4.044705676971856E-4,7.278011430903764E-4,1.9301483017768428E-4,0.002634590962234251,9.785974829390873E-4,3.122660309881007E-4,0.0,0.0,4.450405638491829E-4,5.089690426341483E-4,0.0011777592822307106
п,0.0017789328615739437,6.14696911393899E-6,9.835150582302385E-6,1.3523332050665778E-5,4.917575291151192E-6,0.0027833476147915747,1.229393822787798E-6,0.0,0.0013658565371172436,0.0,1.4506847108896017E-4,0.0012269350351422224,4.917575291151192E-6,1.5367422784847475E-4,0.010339202049645382,1.0203968729138723E-4,0.0070345914539917806,2.950545174690715E-5,7.130484172169229E-5,0.001229393822787798,3.688181468363394E-6,1.229393822787798E-6,1.5982119696241373E-5,2.5817270278543758E-5,1.3523332050665778E-5,0.0,3.2701875686155427E-4,2.5694330896264977E-4,6.14696911393899E-6,1.229393822787798E-6,3.1964239392482746E-4
р,0.008739760686198457,3.1964239392482746E-4,5.040514673429971E-4,2.8644876070955694E-4,4.8561056000118023E-4,0.007177201137435165,4.1799389974785133E-4,7.868120465841908E-5,0.005322045858848378,0.0,3.5529481478567364E-4,9.712211200023604E-5,4.5610510825427306E-4,0.001161777162534469,0.007981224697538385,4.081587491655489E-4,1.0572786875975063E-4,6.7001963341935E-4,0.0011064544405090181,0.003287399082134572,3.442302703805834E-5,2.8030179159561794E-4,9.097514288629705E-5,1.1310423169647741E-4,2.7538421630446673E-4,4.5487571443148524E-5,0.0018699080044602408,6.798547840016523E-4,4.794635908872412E-5,2.3358482632968163E-4,0.0013006986645094903
с,0.0019092486067894504,2.0039119311441109E-4,0.0024882930973225033,1.4260968344338457E-4,3.4054208891222003E-4,0.0038738199356043515,6.884605407611668E-5,6.76166602533289E-5,0.0017236101395484928,3.688181468363394E-6,0.0050282207352020936,0.0033746860435525054,9.98267784103692E-4,0.0015379716723075353,0.0031915063639571238,0.0020875107110936812,4.92986922937907E-4,0.0010621962628886575,0.013690529610564918,0.0012134117030915567,6.14696911393899E-5,2.704666410133156E-4,6.14696911393899E-5,4.1676450592506353E-4,1.290863513927188E-4,8.605756759514585E-6,4.6225207736821206E-4,0.002975133051146471,1.880972548865331E-4,1.856384672409575E-4,0.004140598395149304
т,0.007780833504423974,3.1964239392482746E-4,0.003437385128514683,1.7334452901307952E-4,4.364348070896683E-4,0.005870355503811735,1.1679241316484082E-4,1.6965634754471614E-4,0.004765130457125505,1.229393822787798E-6,0.0010781783825848988,4.5979328972263646E-4,3.65129965367976E-4,0.0019989943558529595,0.01615669361907724,7.671417454195859E-4,0.0037705508544901766,0.0022866725103853043,4.708578341277266E-4,0.0020112882940808378,4.425817762036073E-5,5.532272202545091E-5,9.835150582302384E-5,3.5775360243124924E-4,4.5487571443148524E-5,4.0569996151997333E-5,0.0019977649620301716,0.005715451882140473,1.880972548865331E-4,5.532272202545091E-5,8.163174983310978E-4
у,2.1145573751950127E-4,0.001174071100762347,0.001417491077674331,0.0014113441085603922,0.0026038561166645564,3.614417838996126E-4,0.0015330540970163841,6.860017531155913E-4,6.63872664305411E-4,9.220453670908485E-5,0.001582229849927896,0.0014224086529654823,0.00135110381124379,0.0014322438035477847,4.302878379757293E-4,0.0014138028962059678,8.433641624324295E-4,0.0022866725103853043,0.0021379158578279807,1.4752725873453578E-4,6.76166602533289E-5,4.892987414695436E-4,2.8276057924119353E-5,0.001327745328610822,8.82704764761639E-4,3.5898299625403704E-4,0.0,0.0,1.3400392668387E-4,0.0012822577571676734,1.6105059078520153E-4
