Source,Length,Error,Entropy,Entropy Bigram,Extended Forbidden,Extended Bigram Forbidden,Extended Forbidden Frequencies,Extended Forbidden Bigram Frequencies,Extended Frequent,Extended Bigram Frequent,Extended Frequent Frequencies,Extended Frequent Bigram Frequencies,Forbidden,Forbidden Bigram,Forbidden Frequencies,Forbidden Bigram Frequencies,Frequent,Frequent Bigram,Frequent Frequencies,Frequent Bigram Frequencies,Correspondence,Correspondence Bigram
Affine Bigram,1000,False negative,0.6639999999999999,0.497,0.0,0.871,0.0,0.0,1.0,0.255,1.0,1.0,0.0,0.03300000000000003,0.010000000000000009,1.0,1.0,0.0,0.08699999999999997,0.02100000000000002,0.0,0.43000000000000005
Affine Bigram,10000,False negative,0.06999999999999995,0.51,0.0,0.13,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.98,1.0,0.15000000000000002,0.030000000000000027,0.0,0.0,0.51
Affine Bigram,100000,False negative,0.0,0.6,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.30000000000000004,1.0,0.4,0.0,0.0,0.0,0.4
Random,10,False negative,0.0,0.0,0.4518,1.0,0.9616,0.992,0.19799999999999995,0.0,0.9817,0.9953,0.11609999999999998,0.9325,1.0,1.0,0.0,0.0,0.8357,0.0605,0.19920000000000004,0.9903
Random,100,False negative,0.956,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.532,0.20499999999999996,1.0,0.788,0.0,0.14500000000000002,0.45799999999999996,0.0,0.0
Random,1000,False negative,0.0,1.0,0.0,0.654,0.0,0.0,1.0,0.384,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0010000000000000009,0.0,0.0
Random,10000,False negative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.06000000000000005,1.0,0.9299999999999999,0.0,0.0,0.0,0.0
Random,100000,False negative,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Recursive,10,False negative,0.0,0.0,0.5357000000000001,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.26280000000000003,1.0,1.0,1.0,0.0,0.0,0.8634999999999999,0.0,0.26259999999999994,1.0
Recursive,100,False negative,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Recursive,1000,False negative,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Recursive,10000,False negative,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Recursive,100000,False negative,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Recursive Bigram,10,False negative,0.0,0.0,0.48019999999999996,1.0,0.971,0.9997,0.14900000000000002,0.0,0.9858,0.9962,0.11960000000000004,0.957,1.0,1.0,0.0,0.0,0.8154,0.05379999999999996,0.21899999999999997,0.9943
Recursive Bigram,100,False negative,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.683,0.508,1.0,0.503,0.0,0.274,0.396,0.0,0.006000000000000005
Recursive Bigram,1000,False negative,1.0,1.0,0.0,0.617,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Recursive Bigram,10000,False negative,1.0,0.0,0.0,0.43000000000000005,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Recursive Bigram,100000,False negative,1.0,0.0,0.0,0.19999999999999996,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
