о,0.11321118895905996
е,0.08251752808242839
а,0.07905739916819214
и,0.06743839814902466
н,0.06561643650365315
т,0.06186494125341618
с,0.05249511623303898
в,0.046575584976315726
л,0.04572422975403518
р,0.044276618527702545
к,0.036728140455785464
м,0.0317374162321784
д,0.029983685943971605
у,0.028001903101637676
п,0.027112436670850705
я,0.021212575715292063
ы,0.020617549105062766
г,0.019963511591339658
б,0.01852266203103236
ь,0.018321656141006552
з,0.016109361956899913
ч,0.013770440209046126
й,0.012830568631524854
ж,0.009554234093795373
х,0.009431294711516592
ш,0.008208662554754127
ю,0.006369489395863581
ц,0.0036506849567683663
щ,0.003552948147856736
э,0.0034767257308438927
ф,0.0020666110161062885
